year,state,unit,unit_evs,had_popular_vote,candidate,party,on_ballot,raw_votes,evs_awarded,total_evs,evs_to_win,source_url
1828,NY,NY-11,1,True,John Quincy Adams,National Republican,True,3370,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-12,1,True,Andrew Jackson,Democratic,True,3740,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-12,1,True,John Quincy Adams,National Republican,True,2584,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-13,1,True,Andrew Jackson,Democratic,True,4241,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-13,1,True,John Quincy Adams,National Republican,True,3,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-14,1,True,Andrew Jackson,Democratic,True,5136,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-14,1,True,John Quincy Adams,National Republican,True,5817,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-15,1,True,Andrew Jackson,Democratic,True,3177,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-15,1,True,John Quincy Adams,National Republican,True,2510,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-16,1,True,Andrew Jackson,Democratic,True,3778,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-16,1,True,John Quincy Adams,National Republican,True,3982,1,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
1828,NY,NY-17,1,True,Andrew Jackson,Democratic,True,2929,0,261,131,https://en.wikipedia.org/wiki/1828_United_States_presidential_election
